Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
amoxicillin for std,9,9,1600,20,1.7,https://example.com/info/does-amoxicillin-treat-stds-3.html,14,0.0,23.0,0.1,1290000,"[84,84,100,84,84,100,68,100,84,100,68,84]",2023-09-05,"Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, informational",Organic
how long does ozempic fatigue last,9,9,1600,27,4.19,https://example.com/info/can-ozempic-cause-fatigue-2.html,14,0.0,58.0,0.06,773000,"[10,20,24,36,79,79,79,100,79,100,79,79]",2023-09-03,"Sitelinks, Featured snippet, Ads bottom, People also ask, Related searches",informational,Organic
lions mane adhd,11,0,2900,26,1.1,https://example.com/info/lions-mane-adhd-benefits.html,14,0.0,15.0,1.0,1210000,"[3,2,10,10,10,29,100,100,81,100,66,81]",2023-09-09,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
lions mane adhd,12,0,2900,26,1.1,https://example.com/info/benefits-of-lions-mane-for-adhd.html,14,0.0,15.0,1.0,1210000,"[3,2,10,10,10,29,100,100,81,100,66,81]",2023-09-09,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
ozempic in mexico,6,6,1600,21,1.59,https://example.com/info/ozempic-mexico-diabetes-medication-guide.html,14,0.0,22.0,0.1,1430000,"[11,11,34,24,34,55,65,82,100,82,100,65]",2023-09-03,"Sitelinks, Reviews, Video Carousel, People also ask, Indented, Related searches","commercial, informational",Organic
does vitamin water have caffeine,9,9,1600,28,8.8,https://example.com/blog/how-much-caffeine-in-vitamin-water-focus/,14,0.0,123.0,0.08,52000000,"[84,84,84,68,68,68,84,100,84,84,68,84]",2023-09-07,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Recipes, Related searches",informational,Organic
piercing bump vs keloid,19,20,9900,29,1.19,https://example.com/info/piercing-keloid-vs-bump-understanding-differences-treatment.html,14,0.0,16.0,0.0,98,"[54,44,44,44,19,44,44,44,54,54,54,54]",2023-09-09,"Sitelinks, Featured snippet, People also ask, Related searches","commercial, informational",Organic
tri lo estarylla,10,10,2900,22,2.03,https://example.com/info/tri-lo-estarylla-everything-you-need-to-know-2.html,14,0.0,28.0,0.04,91,"[100,100,80,66,66,80,66,80,52,66,52,52]",2023-09-04,"Image pack, Image, People also ask, Related searches",informational,Organic
how long does temporary erectile dysfunction last,8,55,1000,23,3.75,https://example.com/blog/temporary-erectile-dysfunction-last/,13,0.0,48.0,0.13,2780000,"[100,100,100,100,100,100,67,45,24,55,55,55]",2023-09-09,"Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
adderall headache,10,10,1900,28,2.32,https://example.com/blog/what-does-an-adderall-headache-feel-like-symptoms-treatment-options/,13,0.0,30.0,0.0,2700000,"[82,82,82,65,65,82,82,65,65,65,65,65]",2023-09-05,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
b thicc,10,10,1900,29,1.5,https://example.com/info/enhance-booty-b-thicc-booty-enhancing-mask.html,13,0.0,19.0,1.0,43600000,"[35,19,19,12,16,35,44,44,29,12,7,10]",2023-09-07,"Knowledge panel, Reviews, People also ask, Related searches","informational, transactional",Organic
multifocal pneumonia,14,12,4400,29,2.02,https://example.com/blog/multifocal-pneumonia-causes-symptoms-treatment-nao-medical/,13,0.0,26.0,0.02,2530000,"[44,44,44,54,66,66,54,66,54,54,54,44]",2023-09-09,"Featured snippet, Image, People also ask, Related searches",informational,Organic
cervical enlargement,9,9,1900,26,1.22,https://example.com/info/causes-cervical-enlargement-spinal-cord.html,13,0.0,15.0,0.01,11700000,"[22,43,65,100,65,29,29,54,81,29,29,22]",2023-09-04,"Image pack, Reviews, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
wegovy side effects with alcohol,8,8,1000,15,6.14,https://example.com/info/can-you-drink-alcohol-while-on-wegovy.html,13,0.0,79.0,0.07,271000000,"[7,8,13,11,13,46,84,84,84,84,84,100]",2023-09-07,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
how much is mounjaro without insurance,14,12,4400,15,1.23,https://example.com/health/mounjaro-savings-card-without-insurance/?amp=1,13,0.0,15.0,0.42,672000,"[7,28,54,100,66,81,81,81,81,100,100,81]",2023-09-09,"Reviews, People also ask, FAQ, Indented, Related searches",informational,Organic
why am i not losing weight on ozempic,16,17,4400,5,3.14,https://example.com/blog/why-not-losing-weight-on-ozempic/,13,0.0,40.0,0.06,1440000,"[24,28,28,36,36,66,81,100,66,81,81,81]",2023-09-09,"People also ask, Indented, Related searches",informational,Organic
hormone type 6 diet and exercise plan,8,8,1000,12,1.4,https://example.com/blog/hormone-type-6-diet-exercise-plan-nao-medical/,13,0.0,18.0,0.2,38300000,"[62,62,55,36,45,100,62,81,45,55,45,62]",2023-09-04,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches","commercial, informational",Organic
keloid on belly piercing,10,10,1900,17,1.95,https://example.com/info/how-to-remove-keloid-on-belly-piercing.html,13,0.0,25.0,0.01,470000,"[66,52,44,52,24,36,44,52,66,100,66,66]",2023-09-06,"Sitelinks, Featured snippet, People also ask, Indented, Related searches",informational,Organic
semaglutide pronunciation,7,7,1900,18,7.04,https://example.com/info/how-do-you-say-semaglutide.html,13,0.0,91.0,0.07,76,"[16,20,30,34,34,65,65,82,82,100,100,82]",2023-09-03,"Reviews, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
ozempic and constipation,8,8,1000,16,3.65,https://example.com/info/severe-constipation-on-ozempic-causes-symptoms-treatment.html,13,0.0,47.0,0.03,346000,"[31,31,37,37,37,37,46,68,68,84,84,100]",2023-09-08,"Image pack, Image, Ads bottom, People also ask, Indented, Related searches",informational,Organic
watery period blood sign of pregnancy,10,52,1900,23,1.63,https://example.com/info/light-brown-watery-period-blood-causes-concerns.html,13,0.0,21.0,0.01,3470000,"[19,16,24,19,24,24,24,16,10,13,13,13]",2023-09-09,"Featured snippet, Image, People also ask, Related searches",informational,Organic
red bed bugs,9,9,1900,21,1.6,https://example.com/info/little-red-bugs-on-bed-identify-get-rid.html,13,0.0,20.0,0.02,254000000,"[20,52,52,52,36,36,36,44,52,80,80,66]",2023-09-04,"Image pack, Sitelinks, Video, Image, People also ask, Indented, Related searches","commercial, informational",Organic
8 panel drug test,10,10,1900,22,2.88,https://example.com/info/what-does-8-panel-drug-test-test-for.html,13,0.0,37.0,0.43,315000000,"[100,100,100,84,84,100,84,100,100,100,100,84]",2023-09-06,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, FAQ, Indented, Popular products, Related searches","commercial, informational",Organic
4 panel drug test,14,0,4400,29,2.62,https://example.com/blog/what-is-a-4-panel-drug-test-everything-you-need-to-know/,13,0.0,34.0,0.08,396000000,"[100,81,100,81,66,81,81,100,100,100,100,100]",2023-09-09,"Video, Featured snippet, Image, People also ask, Popular products, Related searches",informational,Organic
magnesium breakthrough,12,17,4400,21,1.29,https://example.com/info/magnesium-breakthrough-bioptimizers-ultimate-guide.html,13,0.0,16.0,1.0,6600000,"[43,43,43,43,100,66,54,66,81,81,100,81]",2023-09-09,"Knowledge panel, Reviews, Video, Image, Ads bottom, Shopping ads, Video Carousel, People also ask, Related products, Related searches","informational, transactional",Organic
tessalon perles over the counter,11,11,2400,25,2.69,https://example.com/info/tessalon-perles-over-counter-uses-dosage-side-effects.html,12,0.0,32.0,0.04,84200,"[29,36,54,81,100,100,65,54,43,43,22,22]",2023-09-08,"Sitelinks, People also ask, Indented, Related searches","commercial, informational",Organic
vestura birth control,10,10,2400,18,2.64,https://example.com/info/vestura-birth-control-everything-you-need-to-know.html,12,0.0,31.0,0.07,45500,"[100,82,82,82,82,100,82,82,82,82,82,82]",2023-09-06,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
twisted tea calories,15,15,8100,26,1.89,https://example.com/info/twisted-tea-original-nutrition-facts.html,12,0.0,22.0,0.02,0,"[81,66,66,29,36,54,54,54,66,81,81,81]",2023-09-09,"Carousel, Image pack, Reviews, Featured snippet, People also ask, Recipes, Indented, Related searches",informational,Organic
aspartame pronunciation,8,8,2400,24,11.16,https://example.com/info/aspartame-pronunciation-correct-how-to-say.html,12,0.0,133.0,0.0,518000,"[19,19,19,12,19,19,29,16,16,19,44,100]",2023-09-08,"Sitelinks, Video Carousel, People also ask, Related searches",informational,Organic
body beast schedule,12,12,2900,22,2.71,https://example.com/blog/body-beast-workout-schedule/,11,0.0,29.0,0.01,20700000,"[65,54,54,54,65,100,54,81,54,54,54,54]",2023-09-03,"Image pack, Reviews, Video, People also ask, Related searches",informational,Organic
arthralgia and myalgia,9,9,1300,24,1.15,https://example.com/info/myalgia-vs-arthralgia-understanding-difference-treatment-options.html,11,0.0,12.0,0.02,2170000,"[8,30,41,20,79,79,41,7,100,79,100,100]",2023-09-07,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Indented, Related searches","commercial, informational",Organic
5oz chicken breast protein,8,8,1300,29,2.58,https://example.com/health/5-oz-chicken-breast-nutrition-facts/,11,0.0,28.0,0.0,1250000,"[54,30,100,36,41,66,79,36,36,30,30,36]",2023-09-05,"Instant answer, Knowledge panel, Reviews, Video, People also ask, Recipes, Related searches",informational,Organic
are nature valley bars healthy,9,9,1300,23,1.56,https://example.com/blog/is-nature-valley-granola-bars-healthy/,11,0.0,17.0,0.15,17200000,"[84,52,68,46,46,84,84,100,84,84,68,68]",2023-09-06,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches","informational, transactional",Organic
what pharmacy has wegovy in stock,10,10,1600,19,1.58,https://example.com/info/what-pharmacies-have-wegovy-in-stock-2.html,11,0.0,17.0,0.11,227000,"[4,5,10,19,19,8,5,3,3,23,100,44]",2023-09-06,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
oprah ozempic,9,56,1300,28,3.34,https://example.com/info/oprah-ozempic-weight-loss.html,11,0.0,36.0,0.09,214000,"[0,0,0,3,13,20,16,66,52,80,100,44]",2023-09-09,"Video, People also ask, Related searches",informational,Organic
diprospan injection,10,10,1600,26,8.0,https://example.com/info/how-often-can-you-inject-diprospan.html,11,0.0,88.0,0.01,73300,"[41,79,54,54,66,41,54,54,100,79,66,54]",2023-09-08,"Image, People also ask, Related searches","commercial, informational",Organic
glutathione before and after,9,9,1300,16,1.13,https://example.com/info/glutathione-injections-before-and-after.html,9,0.0,10.0,0.08,51000000,"[100,81,81,81,81,81,81,81,62,62,62,55]",2023-09-04,"Image pack, Reviews, Video, Image, People also ask, Indented, Related searches",informational,Organic
adderall headache,11,11,1900,28,2.32,https://example.com/blog/adderall-headache-causes-symptoms-treatment-nao-medical/,9,0.0,20.0,0.0,2700000,"[82,82,82,65,65,82,82,65,65,65,65,65]",2023-09-05,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
lubricated tampons,9,9,1300,6,1.1,https://example.com/info/benefits-of-using-lubricant-for-tampons.html,9,0.0,9.0,1.0,819000,"[3,0,100,5,2,2,4,5,5,4,0,0]",2023-09-07,"Sitelinks, Reviews, Image, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
coconut oil for cradle cap,10,10,1300,26,1.19,https://example.com/info/does-coconut-oil-help-with-cradle-cap.html,9,0.0,10.0,1.0,2320000,"[41,54,54,66,41,66,66,66,41,41,54,41]",2023-09-05,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Recipes, Popular products, Related searches",informational,Organic
kurvelo birth control,10,10,1300,19,1.95,https://example.com/info/kurvelo-birth-control-guide.html,9,0.0,17.0,0.12,27000,"[84,84,68,68,68,84,84,84,52,46,68,84]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
calcinosis cutis dog,12,12,1900,24,1.32,https://example.com/blog/calcinosis-cutis-dog/,9,0.0,11.0,0.01,63800,"[66,79,66,79,66,66,79,100,66,100,79,79]",2023-09-05,"Video, Featured snippet, People also ask, Related searches",informational,Organic
wegovy and alcohol,9,9,1900,21,8.32,https://example.com/info/can-you-drink-alcohol-while-taking-wegovy-4.html,9,0.0,74.0,0.07,88,"[5,5,8,8,8,36,43,81,81,100,65,54]",2023-09-03,"Top stories, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
coughing when laughing,10,10,1000,27,3.03,https://example.com/coughing-after-laughing-asthma/,9,0.0,27.0,0.07,29100000,"[62,62,62,100,62,62,81,62,62,81,55,62]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
screening for prostate cancer icd 10,10,10,1300,19,2.35,https://example.com/info/prostate-screening-icd-10.html,9,0.0,21.0,0.01,1140000,"[36,81,81,100,55,62,55,100,100,62,62,62]",2023-09-03,"Featured snippet, People also ask, Indented, Related searches",informational,Organic
the color ginger,10,10,1300,22,1.72,https://example.com/info/the-color-ginger-meaning-symbolism-cultural-significance.html,9,0.0,15.0,0.82,210000000,"[8,10,10,10,5,5,5,4,3,4,8,100]",2023-09-06,"Knowledge panel, Video, Image, People also ask, Indented, Related searches",informational,Organic
gurgling in chest,11,11,1300,20,1.03,https://example.com/blog/heart-bubbling-sensation-causes-symptoms-nao-medical/,9,0.0,9.0,0.02,10900000,"[52,68,68,84,84,84,84,84,68,68,52,52]",2023-09-06,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
how long does pcp stay in system,17,17,2400,15,1.77,https://example.com/info/how-long-does-pcp-stay-in-your-system.html,9,0.0,15.0,0.0,379000000,"[66,52,44,44,52,66,66,100,52,66,52,52]",2023-09-08,Sitelinks,informational,Organic
vestura birth control,12,12,2400,18,2.64,https://example.com/info/vestura-contraceptive-pill.html,9,0.0,23.0,0.07,45500,"[100,82,82,82,82,100,82,82,82,82,82,82]",2023-09-06,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
vph en hombres fotos,10,10,1300,25,1.79,https://example.com/info/fotos-vph-en-hombres.html,9,0.0,16.0,0.0,1300000,"[10,13,13,8,10,16,22,29,36,65,43,100]",2023-09-07,"Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic
cutwater calories,9,9,1000,26,2.91,https://example.com/info/calories-in-cutwater-nutritional-content-guide.html,9,0.0,26.0,0.15,81,"[84,52,46,31,25,37,37,46,37,68,100,100]",2023-09-07,"Reviews, Featured snippet, People also ask, FAQ, Related searches",informational,Organic
how to inject mounjaro,12,12,2400,27,5.31,https://example.com/info/how-to-inject-mounjaro.html,9,0.0,47.0,0.05,128000,"[27,44,66,100,44,66,36,80,80,100,80,52]",2023-09-03,"Image pack, Sitelinks, Featured snippet, Image, People also ask",informational,Organic
microgestin 1/20,8,8,1300,27,1.98,https://example.com/info/is-microgestin-1-20-a-low-dose-pill.html,9,0.0,17.0,0.13,198000,"[68,52,68,52,52,68,52,68,52,68,68,68]",2023-09-04,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches, See results about",informational,Organic
o positive vitamins,9,9,1000,22,1.95,https://example.com/info/o-positive-vitamins-benefits.html,9,0.0,17.0,1.0,97,"[3,3,3,4,7,16,16,30,44,82,100,82]",2023-09-06,"Sitelinks, Reviews, Image, People also ask, Related searches","informational, transactional",Organic
tretinoin strength chart,9,9,1300,29,1.65,https://example.com/info/retinol-strength-tretinoin-strength-chart.html,9,0.0,14.0,0.03,100,"[84,68,31,37,52,84,68,84,68,68,46,84]",2023-09-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
arthralgia and myalgia,10,10,1300,24,1.15,https://example.com/info/arthralgia-myalgia-causes-symptoms-treatment.html,9,0.0,10.0,0.02,2170000,"[8,30,41,20,79,79,41,7,100,79,100,100]",2023-09-07,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Indented, Related searches","commercial, informational",Organic
low dose naltrexone side effects weight,13,13,1000,23,1.82,https://example.com/blog/low-dose-naltrexone-side-effects-weight-loss-nao-medical/,9,0.0,16.0,0.05,1460000,"[37,46,68,52,68,68,68,52,37,37,46,37]",2023-09-08,"Sitelinks, Reviews, Image, Related searches","commercial, informational",Organic
pregnenolone for men,10,10,1300,22,1.09,https://example.com/info/pregnenolone-men-benefits-dosage-side-effects.html,9,0.0,9.0,1.0,446000,"[66,54,54,54,54,66,54,54,54,54,54,66]",2023-09-07,"Sitelinks, Image, People also ask, Related searches","commercial, informational",Organic
preop clearance icd 10,9,9,1000,29,8.64,https://example.com/info/icd-10-preop-clearance.html,9,0.0,77.0,0.0,62,"[62,62,62,55,36,100,55,62,55,62,55,55]",2023-09-08,"Image pack, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
can hemorrhoids cause a positive cologuard test,9,9,1000,28,1.07,https://example.com/info/can-hemorrhoids-cause-a-positive-cologuard-test.html,9,0.0,9.0,0.07,6250,"[52,46,52,52,100,68,84,68,46,52,46,37]",2023-09-05,"Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
does uti cause bloating,9,9,1000,25,1.62,https://example.com/info/can-uti-make-you-feel-bloated.html,9,0.0,14.0,0.02,57,"[76,76,67,67,55,67,36,100,76,100,76,76]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
ashwagandha breastfeeding,9,9,1000,13,1.43,https://example.com/info/ashwagandha-breastfeeding-safety-benefits-considerations-2.html,9,0.0,12.0,0.38,5980000,"[62,62,62,62,55,100,81,81,81,62,62,62]",2023-09-08,"Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
ketamine troches,14,14,1300,27,2.47,https://example.com/info/troches-ketamine-benefits-dosage-side-effects.html,9,0.0,22.0,0.19,26200,"[37,46,52,37,100,46,68,84,84,100,68,46]",2023-09-07,"Image pack, Image, Related searches",informational,Organic
white claw nutrition facts,12,60,2400,19,1.03,https://example.com/info/white-claw-nutritional-facts.html,9,0.0,9.0,0.06,3650000,"[54,36,28,24,28,36,36,43,43,43,43,43]",2023-09-09,"Image pack, Reviews, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
wegovy vs mounjaro,20,20,6600,28,3.46,https://example.com/info/wegovy-vs-mounjaro-comparison.html,9,0.0,31.0,0.16,1210000,"[15,23,36,44,44,81,81,81,81,100,66,54]",2023-09-10,"Sitelinks, Video, Image, Ads bottom, People also ask, Related searches","commercial, informational",Organic
wegovy vs mounjaro,22,0,6600,28,3.46,https://example.com/info/wegovy-vs-ozempic-vs-mounjaro-comparison.html,9,0.0,31.0,0.16,1210000,"[15,23,36,44,44,81,81,81,81,100,66,54]",2023-09-10,"Sitelinks, Video, Image, Ads bottom, People also ask, Related searches","commercial, informational",Organic
signs of a bad physical therapist,9,9,1000,16,4.99,https://example.com/info/signs-of-a-bad-physical-therapist-identify-avoid-incompetent-practitioners.html,9,0.0,44.0,0.02,69000000,"[76,76,76,76,67,76,67,76,67,67,67,67]",2023-09-08,"Video, Featured snippet, People also ask, Related searches",informational,Organic
pentylene glycol,11,11,1900,20,2.14,https://example.com/info/pentylene-glycol-in-skin-care.html,9,0.0,19.0,0.04,8470000,"[79,66,79,79,66,100,79,100,79,79,79,79]",2023-09-05,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
7 day military diet,10,10,1600,26,1.38,https://example.com/info/the-7-day-military-diet-plan-lose-weight-fast-and-effectively.html,8,0.0,11.0,0.0,62400000,"[66,66,66,41,36,66,66,79,66,66,54,54]",2023-09-05,"Image pack, Sitelinks, Reviews, Video, People also ask, FAQ, Related searches",informational,Organic
derma progenix,9,9,1600,20,1.44,https://example.com/info/derma-progenix-advanced-anti-aging-skin-care-serum.html,8,0.0,11.0,1.0,78,"[55,55,100,82,55,65,65,55,24,20,16,11]",2023-09-08,"Sitelinks, Reviews, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
tdap vis,21,28,5400,25,2.29,https://example.com/blog/tdap-vaccine-vis-nao-medical/,8,0.0,18.0,0.0,179000,"[100,81,66,54,54,66,66,66,66,81,81,81]",2023-09-09,"Image pack, Related searches",informational,Organic
icd 10 screening mammogram,11,11,1600,27,5.65,https://example.com/info/icd-10-codes-mammogram-screening.html,8,0.0,45.0,0.0,134000,"[66,52,44,36,24,24,44,44,52,52,44,80]",2023-09-03,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
autism discord,14,14,2900,16,2.45,https://example.com/info/autism-discord-servers.html,8,0.0,19.0,0.04,7490000,"[36,54,65,54,100,81,81,100,100,16,43,2]",2023-09-07,"Sitelinks, Reviews, Video, People also ask, Related searches","commercial, informational",Organic
proteinuria icd 10,16,16,2900,21,11.01,https://example.com/info/icd-10-code-for-protein-in-urine.html,8,0.0,88.0,0.01,62,"[82,82,82,82,82,100,82,100,100,100,100,100]",2023-09-05,"Image pack, Featured snippet, People also ask, Indented, Related searches",informational,Organic
p90x back and biceps,11,11,1600,8,2.87,https://example.com/blog/back-and-biceps-workout-p90x-tips-and-tricks/,8,0.0,22.0,0.0,68,"[44,44,55,55,55,65,65,82,65,65,65,55]",2023-09-05,"Image pack, Reviews, Video, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
tri linyah,9,9,1000,15,2.4,https://example.com/info/tri-linyah-birth-control-pill.html,7,0.0,16.0,0.02,64900,"[52,68,68,52,52,68,37,84,68,52,68,68]",2023-09-05,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
olive garden breadstick calories,14,14,2400,19,1.21,https://example.com/health/calories-in-olive-garden-breadstick-guide/,7,0.0,8.0,0.0,218000,"[65,43,65,65,54,29,54,36,100,81,36,36]",2023-09-08,"Image pack, Reviews, Video, Featured snippet, People also ask, Recipes, Indented, Related searches","commercial, informational",Organic
mike's hard lemonade calories,14,14,2400,29,1.79,https://example.com/health/mikes-harder-lemonade-nutrition-facts-3/,7,0.0,12.0,0.01,715000,"[36,43,43,15,15,24,24,36,28,28,36,81]",2023-09-09,"Image pack, Reviews, Video, Featured snippet, Ads top, People also ask, Indented, Related searches","commercial, informational",Organic
mike's hard lemonade calories,15,15,2400,29,1.79,https://example.com/health/mikes-harder-lemonade-nutrition-facts-2/?amp=1,7,0.0,12.0,0.01,715000,"[36,43,43,15,15,24,24,36,28,28,36,81]",2023-09-09,"Image pack, Reviews, Video, Featured snippet, Ads top, People also ask, Indented, Related searches","commercial, informational",Organic
does vitamin water have electrolytes,13,13,1900,27,2.06,https://example.com/info/do-vitamin-waters-have-electrolytes.html,7,0.0,14.0,0.02,21500000,"[79,79,79,66,66,79,79,79,66,66,79,100]",2023-09-07,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Recipes, Related searches","commercial, informational",Organic
wegovy shortage may 2023,13,13,1900,21,6.74,https://example.com/info/wegovy-shortage-may-2023.html,7,0.0,47.0,0.15,208000,"[0,35,24,66,100,53,44,24,53,13,2,0]",2023-09-04,"Image pack, People also ask, Indented, Related searches",informational,Organic
can condoms cause yeast infections,10,10,1000,21,1.13,https://example.com/info/condoms-that-dont-cause-yeast-infections-2.html,7,0.0,7.0,0.0,440000,"[68,52,52,68,46,52,46,46,46,46,46,46]",2023-09-06,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
pendulous breasts,13,13,1900,17,1.68,https://example.com/info/pendulous-breast-causes.html,7,0.0,11.0,0.01,593000,"[100,100,79,41,79,79,79,79,100,79,36,66]",2023-09-05,"Sitelinks, Reviews, People also ask","commercial, informational",Organic
mounjaro canada,10,10,1000,28,1.17,https://example.com/info/mounjaro-medication-canada-guide.html,7,0.0,8.0,0.12,98,"[13,16,45,62,100,81,81,100,100,55,55,62]",2023-09-07,"Image, People also ask, Indented, Related searches","commercial, informational",Organic
o positive vitamins,10,10,1000,22,1.95,https://example.com/info/o-positive-supplement-benefits.html,7,0.0,13.0,1.0,97,"[3,3,3,4,7,16,16,30,44,82,100,82]",2023-09-06,"Sitelinks, Reviews, Image, People also ask, Related searches","informational, transactional",Organic
cystex dosage,13,13,1000,23,1.03,https://example.com/info/cystex-uti-dosage.html,7,0.0,7.0,0.29,96,"[76,76,100,76,67,67,67,67,55,67,67,67]",2023-09-07,"Image pack, Image, Related searches","commercial, informational",Organic
advanced imaging ocala,13,13,1000,27,1.92,https://example.com/info/advanced-imaging-ocala.html,7,0.0,13.0,0.02,90,"[81,62,81,62,62,62,62,62,55,55,45,55]",2023-09-07,"Knowledge panel, Image pack, Reviews, Video, Image, Indented, Related searches",informational,Organic
why am i gaining weight on ozempic,10,54,1000,18,3.15,https://example.com/info/gaining-weight-on-ozempic-causes-solutions-tips-2.html,7,0.0,22.0,0.05,1390000,"[36,30,30,36,36,81,100,100,62,81,100,100]",2023-09-09,"Sitelinks, Video, Featured snippet, People also ask, Indented, Related searches",informational,Organic
healthiest smoothie at smoothie king,10,10,1000,26,1.04,https://example.com/best-smoothie-king-smoothie-for-health/,7,0.0,7.0,0.02,493000,"[68,46,25,20,37,68,52,46,68,84,84,84]",2023-09-06,"Sitelinks, Reviews, Video, People also ask, FAQ, Recipes, Related searches","commercial, informational",Organic
preop clearance icd 10,10,10,1000,29,8.64,https://example.com/info/icd-10-code-pre-op-clearance.html,7,0.0,60.0,0.0,62,"[62,62,62,55,36,100,55,62,55,62,55,55]",2023-09-08,"Image pack, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
bed bug shed skin,9,9,1000,17,4.82,https://example.com/info/bed-bug-skin-shed-causes-symptoms-treatment.html,7,0.0,33.0,0.0,5690000,"[84,68,68,52,46,37,25,52,68,46,68,68]",2023-09-05,"Image pack, Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
does uti cause bloating,10,10,1000,25,1.62,https://example.com/info/do-you-feel-bloated-with-a-uti.html,7,0.0,11.0,0.02,57,"[76,76,67,67,55,67,36,100,76,100,76,76]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
ashwagandha breastfeeding,10,10,1000,13,1.43,https://example.com/info/is-ashwagandha-safe-while-breastfeeding.html,7,0.0,10.0,0.38,5980000,"[62,62,62,62,55,100,81,81,81,62,62,62]",2023-09-08,"Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
exophytic fibroid,9,9,1000,25,3.93,https://example.com/info/exophytic-fibroid-uterus-causes-symptoms-treatment.html,7,0.0,27.0,0.02,28300,"[67,67,67,67,67,76,76,100,76,76,76,67]",2023-09-03,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
gleem toothpaste,9,9,1000,25,1.99,https://example.com/info/benefits-of-gleem-toothpaste.html,7,0.0,13.0,1.0,120000,"[76,76,100,100,76,100,76,100,76,76,55,100]",2023-09-06,"Knowledge panel, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
wegovy shortage update,15,15,2400,27,4.82,https://example.com/info/wegovy-shortage-update-june-2023.html,7,0.0,33.0,0.15,591000,"[7,7,10,16,19,13,5,3,3,10,54,100]",2023-09-06,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
true height vitamins,9,9,1300,20,1.27,https://example.com/blog/true-height-vitamins-reviews-nao-medical/,6,0.0,7.0,1.0,71600000,"[20,34,16,24,13,13,30,44,55,100,82,65]",2023-09-08,"Sitelinks, Reviews, Video, Image, Ads top, Shopping ads, Video Carousel, People also ask, Indented, Related searches","informational, transactional",Organic
