Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
endosteal implant,20,20,2400,9,5.25,https://example.com/info/what-is-endosteal-implant.html,3,0.0,15.0,0.18,228000,"[65,65,82,65,65,100,100,100,82,82,82,82]",2023-09-06,"Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
endosteal implant,21,21,2400,9,5.25,https://example.com/info/what-is-an-endosteal-implant-procedure-benefits-recovery.html,3,0.0,15.0,0.18,228000,"[65,65,82,65,65,100,100,100,82,82,82,82]",2023-09-06,"Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
gout vs bunion,15,15,1300,24,4.85,https://example.com/info/gout-vs-bunion-understanding-differences-treatment-options.html,3,0.0,14.0,0.04,3140000,"[84,84,84,52,52,52,68,52,100,84,100,84]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
are corn nuts healthy,13,0,1000,22,1.19,https://example.com/blog/corn-nuts-healthy-snack-option/,3,0.0,3.0,0.01,105000000,"[62,62,45,45,36,81,62,100,81,81,81,81]",2023-09-10,"Knowledge panel, Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
kratom drug test,23,23,2400,18,4.85,https://example.com/blog/kratom-10-panel-drug-test-nao-medical/,3,0.0,14.0,0.64,1830000,"[55,55,82,82,100,82,65,82,82,82,82,65]",2023-09-04,Sitelinks,"commercial, informational",Organic
kratom drug test,26,26,2400,18,4.85,https://example.com/info/kratom-drug-test-everything-you-need-to-know.html,3,0.0,14.0,0.64,1830000,"[55,55,82,82,100,82,65,82,82,82,82,65]",2023-09-04,Sitelinks,"commercial, informational",Organic
phlebotomist in spanish,17,17,1000,27,2.03,https://example.com/info/phlebotomist-in-spanish-guide.html,3,0.0,6.0,0.01,3470000,"[76,76,67,67,55,76,76,100,76,76,100,76]",2023-09-07,"Instant answer, Image pack, Video, People also ask, Indented, Related searches",informational,Organic
qualia mind,28,21,5400,25,1.04,https://example.com/info/qualia-mind-supplement-boost-cognitive-performance.html,3,0.0,3.0,1.0,1750000,"[81,100,100,100,66,100,81,81,66,54,54,54]",2023-09-10,"Reviews, Video, Image, People also ask, Indented, Related searches","informational, transactional",Organic
bup drug test,27,27,2400,21,9.25,https://example.com/info/bup-drug-test-meaning.html,3,0.0,27.0,0.01,248000000,"[82,100,82,100,82,100,55,100,55,65,65,65]",2023-09-06,,informational,Organic
tremfya dosing,23,23,2400,25,4.08,https://example.com/blog/tremfya-dosing-for-psoriatic-arthritis-nao-medical/,3,0.0,12.0,0.28,25500,"[65,65,55,65,65,82,82,100,82,82,82,65]",2023-09-06,"Image pack, Sitelinks, Featured snippet, Image, Ads top, People also ask, Related searches",informational,Organic
tapioca syrup,24,24,2400,28,1.69,https://example.com/info/is-tapioca-syrup-healthy-benefits-risks-alternatives.html,3,0.0,5.0,0.49,11500000,"[66,52,66,52,66,80,80,100,80,80,80,66]",2023-09-04,"Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches",informational,Organic
avocado fodmap,15,15,1000,28,1.07,https://example.com/fodmap-diet-avocado-nao-medical/,3,0.0,3.0,0.01,8240000,"[100,76,67,55,55,100,100,100,76,100,100,100]",2023-09-07,"Image pack, Sitelinks, Reviews, Featured snippet, People also ask, Related searches","commercial, informational",Organic
male vs female bed bug,16,58,1000,23,3.03,https://example.com/info/bed-bugs-male-or-female.html,3,0.0,9.0,0.0,67100000,"[67,55,55,55,67,76,76,100,100,76,100,100]",2023-09-09,"Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
is alani nu bad for you,14,14,1300,25,7.08,https://example.com/is-alani-nu-pre-workout-bad-for-you/,3,0.0,21.0,0.02,11500000,"[62,62,62,55,30,100,100,100,100,81,81,81]",2023-09-03,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
salicylic acid and vitamin c,14,14,1300,25,1.14,https://example.com/info/can-you-mix-salicylic-acid-and-vitamin-c-2.html,3,0.0,3.0,0.95,21100000,"[81,62,81,55,62,81,81,81,81,81,100,81]",2023-09-06,"Sitelinks, Reviews, Video, Image, People also ask, FAQ, Popular products, Related searches","commercial, informational",Organic
is ibs a disability,23,23,1600,25,1.18,https://example.com/info/is-ibs-a-presumptive-disability.html,2,0.0,2.0,0.02,5060000,"[84,84,84,68,52,84,68,100,84,100,84,100]",2023-09-07,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
calcinosis cutis dog,18,18,1900,24,1.32,https://example.com/blog/calcinosis-cutis-dog-home-remedy/,2,0.0,2.0,0.01,63800,"[66,79,66,79,66,66,79,100,66,100,79,79]",2023-09-05,"Video, Featured snippet, People also ask, Related searches",informational,Organic
huber needle,26,52,2900,18,1.25,https://example.com/info/port-access-huber-needle-everything-you-need-to-know.html,2,0.0,2.0,1.0,3670000,"[80,80,80,100,80,80,100,100,100,100,80,80]",2023-09-09,"Image pack, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches","commercial, informational",Organic
does vitamin water have electrolytes,17,17,1900,27,2.06,https://example.com/info/does-vitamin-water-zero-have-electrolytes.html,2,0.0,4.0,0.02,21500000,"[79,79,79,66,66,79,79,79,66,66,79,100]",2023-09-07,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Recipes, Related searches","commercial, informational",Organic
calories in a stella artois,20,20,1600,29,8.4,https://example.com/info/calories-in-a-stella-nutritional-content.html,2,0.0,16.0,0.05,699000,"[3,79,79,79,54,100,100,100,100,100,1,2]",2023-09-07,"Reviews, Featured snippet, People also ask, Related searches",informational,Organic
how long does ativan last,30,30,3600,14,6.14,https://example.com/info/how-long-does-ativan-last-for-anxiety.html,2,0.0,12.0,0.0,2710000,"[81,65,81,65,81,100,81,81,81,81,81,81]",2023-09-04,"Sitelinks, People also ask, Related searches",informational,Organic
calcium deposits on teeth,24,24,1900,22,1.29,https://example.com/info/how-to-break-down-calcium-deposits-on-teeth.html,2,0.0,2.0,0.0,2570000,"[66,79,66,79,100,79,79,79,79,79,100,79]",2023-09-04,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
calcium deposits on teeth,25,25,1900,22,1.29,https://example.com/info/how-to-remove-calcium-deposits-on-teeth.html,2,0.0,2.0,0.0,2570000,"[66,79,66,79,100,79,79,79,79,79,100,79]",2023-09-04,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
tobramycin and dexamethasone ophthalmic suspension,29,29,2900,21,2.44,https://example.com/info/tobramycin-dexamethasone-ophthalmic-suspension-pink-eye.html,2,0.0,4.0,0.58,240000,"[66,66,66,66,66,66,80,80,80,80,80,100]",2023-09-04,"Sitelinks, Image, People also ask, Related searches","commercial, informational",Organic
low dose accutane,22,22,1000,25,1.75,https://example.com/info/low-dose-accutane-for-mild-acne.html,1,0.0,1.0,0.19,1430000,"[88,100,100,100,88,100,100,100,100,88,100,100]",2023-09-03,"Sitelinks, Reviews, Video, Indented, Related searches",informational,Organic
bed bugs in couch,23,23,1300,20,2.2,https://example.com/info/get-rid-of-bed-bugs-in-couch.html,1,0.0,2.0,0.21,13300000,"[100,100,84,68,20,68,52,16,68,100,100,84]",2023-09-05,"Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
disadvantages of meals on wheels,20,20,1300,27,2.52,https://example.com/info/are-meals-on-wheels-healthy-benefits-risks-tips.html,1,0.0,2.0,0.02,2340000,"[55,55,55,62,81,100,81,81,55,81,62,100]",2023-09-03,"Reviews, Featured snippet, People also ask, Related searches",informational,Organic
cowlick or balding,19,19,1000,20,2.1,https://example.com/info/cowlick-or-hair-loss-understanding-difference-addressing.html,1,0.0,2.0,0.01,78500,"[67,67,76,76,76,67,100,76,67,67,76,76]",2023-09-08,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
ketamine overdose,37,37,1600,26,1.29,https://example.com/info/can-you-overdose-on-ketamine-risks-symptoms-treatment.html,1,0.0,1.0,0.01,250000000,"[84,100,68,84,84,68,84,84,68,68,68,84]",2023-09-06,,informational,Organic
aubra eq,22,22,1300,19,1.8,https://example.com/info/aubra-eq-everything-you-need-to-know.html,1,0.0,1.0,0.13,95,"[81,81,81,62,62,81,62,62,81,81,62,81]",2023-09-05,"Sitelinks, Image, People also ask, Related searches","commercial, informational",Organic
greater trochanter fracture,21,21,1000,20,1.01,https://example.com/blog/greater-trochanter-fracture-types-nao-medical/,1,0.0,1.0,0.01,1520000,"[100,76,36,76,76,76,76,100,67,67,76,100]",2023-09-07,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
white filled,25,25,1300,27,2.18,https://example.com/info/white-pus-filled-bumps-causes-treatment-prevention.html,1,0.0,2.0,0.24,8990000000,"[81,62,62,62,81,81,81,81,81,55,62,62]",2023-09-09,"Image pack, Image, People also ask, Indented, Related searches",informational,Organic
bed bug droppings,35,35,2400,27,4.58,https://example.com/info/bed-bug-fecal-information.html,1,0.0,4.0,0.01,10900000,"[82,100,82,55,65,55,44,82,82,82,82,100]",2023-09-05,"Image pack, Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
rib x ray,21,21,1300,28,2.5,https://example.com/info/ribs-x-ray-anatomy-guide.html,1,0.0,2.0,0.0,31500000,"[84,84,11,11,84,100,11,100,11,100,84,84]",2023-09-06,"Image pack, Image, People also ask, Indented, Related searches",informational,Organic
free phlebotomy training,17,17,1300,21,1.56,https://example.com/info/free-phlebotomy-course-nyc.html,1,0.0,1.0,0.45,6170000,"[62,81,62,62,81,100,62,81,81,62,81,62]",2023-09-04,"Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic
are nature valley bars gluten free,19,19,1000,22,2.04,https://example.com/blog/are-nature-valley-chewy-granola-bars-gluten-free/,1,0.0,2.0,0.06,7310000,"[100,76,76,55,45,76,76,76,76,76,76,76]",2023-09-09,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Recipes, Related searches",informational,Organic
ipamorelin side effects,19,19,1000,27,1.39,https://example.com/info/cjc-1295-ipamorelin-and-semaglutide-comprehensive-guide-peptide-therapy.html,1,0.0,1.0,0.03,266000,"[100,100,100,100,76,100,67,100,76,76,76,76]",2023-09-07,"Sitelinks, Featured snippet, Image, People also ask",informational,Organic
constipation fever,24,0,1000,24,1.03,https://example.com/info/can-constipation-cause-fever-in-1-year-old.html,1,0.0,1.0,0.02,103000000,"[76,76,67,100,67,67,67,76,76,100,67,76]",2023-09-09,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches","commercial, informational",Organic
does adderall make you last longer in bed,24,24,1300,25,4.01,https://example.com/info/does-adderall-make-you-last-longer.html,1,0.0,4.0,0.04,5560000,"[81,100,81,62,55,62,100,62,62,81,81,62]",2023-09-09,"Image pack, Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
can dry eyes cause blindness,25,25,1300,20,1.95,https://example.com/info/can-severe-dry-eyes-cause-blindness.html,1,0.0,1.0,0.24,40300000,"[55,55,55,62,81,100,81,100,81,62,81,81]",2023-09-03,"Sitelinks, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
does blue cross blue shield cover weight loss injections,29,29,2400,27,1.87,https://example.com/info/does-blue-cross-blue-shield-cover-wegovy-for-weight-loss.html,1,0.0,1.0,0.15,3380000,"[10,20,27,36,44,100,80,80,80,80,80,66]",2023-09-08,"Image, People also ask, Indented, Related searches",informational,Organic
how bad is wisdom teeth removal without anesthesia,21,21,1300,22,5.1,https://example.com/info/wisdom-teeth-removal-without-anesthesia-2.html,1,0.0,5.0,0.01,3780000,"[62,55,55,55,100,100,81,81,62,81,81,81]",2023-09-06,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
pure cardio insanity,20,20,1300,27,2.01,https://example.com/how-long-is-the-pure-cardio-workout-for-insanity-nao-medical/,1,0.0,2.0,0.01,73,"[81,62,62,55,100,100,81,100,81,62,81,81]",2023-09-05,"Reviews, Video, People also ask, Related searches",informational,Organic
a los cuantos dias puedo saber si estoy embarazada,33,33,2400,28,1.08,https://example.com/info/a-los-cuantos-dias-puedo-saber-si-estoy-embarazada.html,1,0.0,1.0,0.01,90,"[100,79,100,79,100,100,79,100,79,100,100,100]",2023-09-07,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
amb referral,17,54,1300,27,2.53,https://example.com/blog/amb-referral-to-sleep-medicine-nao-medical/,1,0.0,2.0,0.0,1490000,"[100,81,100,81,62,62,45,45,45,62,100,100]",2023-09-09,"Sitelinks, People also ask, Related searches","commercial, informational",Organic
tretinoin week by week,16,16,1000,11,3.93,https://example.com/info/how-many-times-a-week-should-i-use-tretinoin.html,1,0.0,3.0,0.03,3160000,"[36,30,24,30,100,81,81,81,81,100,81,62]",2023-09-05,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
avocado fodmap,17,17,1000,28,1.07,https://example.com/blog/avocado-fodmap-diet-nao-medical/,1,0.0,1.0,0.01,8240000,"[100,76,67,55,55,100,100,100,76,100,100,100]",2023-09-07,"Image pack, Sitelinks, Reviews, Featured snippet, People also ask, Related searches","commercial, informational",Organic
how long to lose 40 pounds,17,17,1000,26,1.39,https://example.com/info/is-losing-40-pounds-in-6-months-healthy.html,1,0.0,1.0,0.11,155000000,"[76,67,67,55,76,100,76,76,76,76,76,76]",2023-09-07,"Sitelinks, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
fortiflora sa,19,19,1300,24,1.39,https://example.com/info/pro-plan-veterinary-supplements-fortiflora-sa-benefits-usage-faqs.html,1,0.0,1.0,1.0,58,"[52,52,68,68,52,84,84,84,100,100,84,68]",2023-09-07,"Knowledge panel, Reviews, Video, Image, People also ask, Related products, Related searches","informational, transactional",Organic
low histamine recipes,18,18,1300,28,1.43,https://example.com/blog/low-histamine-diet-recipes-nao-medical-2/,1,0.0,1.0,0.05,3830000,"[55,81,81,62,62,100,100,100,81,81,62,62]",2023-09-07,"Sitelinks, Reviews, Image, People also ask, Recipes, Related searches",informational,Organic
signs of nerve damage from epidural,23,23,1300,29,1.33,https://example.com/info/treat-nerve-damage-epidural.html,1,0.0,1.0,0.02,1050000,"[62,62,62,55,81,100,81,100,100,100,100,100]",2023-09-03,"Sitelinks, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
hepatitis a ab total,22,22,1000,29,1.0,https://example.com/blog/positive-hepatitis-a-ab-total-meaning/,1,0.0,1.0,0.02,27800000,"[76,67,67,67,67,76,100,100,100,100,76,76]",2023-09-04,"Sitelinks, Featured snippet, People also ask, Related searches","commercial, informational",Organic
milk protein concentrate,36,36,1000,21,1.45,https://example.com/info/is-milk-protein-concentrate-the-same-as-whey.html,0,0.0,0.0,1.0,29100000,"[76,67,67,55,55,76,76,76,76,76,76,76]",2023-09-06,"Knowledge panel, Reviews, Image, People also ask, FAQ, Recipes, Indented, Popular products, Related searches",informational,Organic
m shaped hairline,48,48,1600,18,3.66,https://example.com/info/m-shape-hair-loss-causes-treatments-prevention.html,0,0.0,0.0,0.01,12600000,"[84,100,84,84,84,100,68,84,84,100,84,84]",2023-09-06,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
antibacterial deodorant,93,93,1000,25,1.05,https://example.com/info/antibacterial-deodorant-for-women.html,0,0.0,0.0,1.0,9540000,"[76,100,76,67,55,67,76,67,67,67,100,100]",2023-09-09,"Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches","commercial, informational",Organic
esophageal polyps,45,45,1300,23,1.85,https://example.com/info/percentage-of-cancer-with-polyps-in-esophagus.html,0,0.0,0.0,0.04,2630000,"[81,36,81,36,100,55,81,45,100,100,100,81]",2023-09-06,"Sitelinks, People also ask, Related searches",informational,Organic
bvab 2,37,37,2400,24,1.94,https://example.com/info/bvab-2-high-meaning-importance-impact.html,0,0.0,0.0,0.01,57500,"[100,79,100,79,79,100,100,100,100,100,100,100]",2023-09-05,"Sitelinks, People also ask, Related searches",informational,Organic
taco bell nacho bell grande,43,43,2400,21,1.55,https://example.com/health/calories-in-nacho-bell-grande-taco-bell/?amp=1,0,0.0,0.0,0.01,4460000,"[82,82,82,82,82,82,82,100,100,100,100,65]",2023-09-08,"Sitelinks, Reviews, Video, People also ask, Recipes, Twitter carousel, Indented, Related searches",informational,Organic
how long does it take low dose naltrexone to work,82,82,1300,3,2.35,https://example.com/info/low-dose-naltrexone-long-covid.html,0,0.0,0.0,0.05,1330000,"[62,55,1,62,62,81,100,100,100,100,100,100]",2023-09-06,"Sitelinks, Indented, Related searches",informational,Organic
gin shots,25,25,1000,28,1.49,https://example.com/info/calories-in-gin-shot.html,0,0.0,0.0,0.07,31600000,"[100,76,100,100,100,100,76,100,100,100,76,45]",2023-09-03,"Sitelinks, Reviews, Image, People also ask, Recipes, Popular products, Related searches",informational,Organic
can toothache cause headache,43,43,1300,23,2.34,https://example.com/info/can-tooth-pain-cause-headache.html,0,0.0,0.0,0.06,4600000,"[68,84,84,84,25,20,20,84,84,84,84,68]",2023-09-05,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
cryotherapy cost,36,36,1000,21,1.07,https://example.com/blog/cryotherapy-houston-cost-benefits-expectations/,0,0.0,0.0,0.28,20400000,"[100,100,76,76,76,76,67,100,76,76,76,100]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
life expectancy after colon resection,52,52,2900,24,1.93,https://example.com/info/how-long-can-you-live-after-colon-cancer-surgery-survival-rates-factors-prognosis.html,0,0.0,0.0,0.07,280000,"[36,52,66,80,66,100,100,100,100,66,80,80]",2023-09-04,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
6 panel drug test,48,48,1000,29,2.3,https://example.com/blog/what-is-on-a-6-panel-drug-test/,0,0.0,0.0,0.99,231000000,"[100,76,76,67,76,76,76,100,100,100,100,100]",2023-09-06,"Reviews, Image, People also ask, Popular products, Related searches",informational,Organic
mini cucumbers,93,0,4400,19,1.13,https://example.com/info/mini-cucumber-nutrition-facts-benefits-uses-tips.html,0,0.0,0.0,1.0,511000000,"[81,54,54,54,54,54,43,81,81,100,81,81]",2023-09-09,"Image pack, Reviews, Image, People also ask, Recipes, Popular products, Related searches","informational, transactional",Organic
twinrix vaccine,51,51,2900,27,2.09,https://example.com/blog/twinrix-vaccine-schedule-nao-medical/,0,0.0,0.0,0.03,199000,"[100,80,80,80,52,66,66,80,66,100,66,100]",2023-09-05,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",informational,Organic
panorama prenatal testing,40,40,1600,25,2.27,https://example.com/blog/panorama-prenatal-screening-test-nao-medical/,0,0.0,0.0,0.06,797000,"[79,4,66,66,66,79,100,79,79,79,66,5]",2023-09-05,"Image pack, Sitelinks, Image, People also ask","commercial, informational",Organic
knee feels tight,39,39,1300,27,1.73,https://example.com/info/why-does-my-knee-feel-swollen-and-tight.html,0,0.0,0.0,0.02,274000000,"[68,68,84,68,52,84,68,84,84,100,84,84]",2023-09-06,"Sitelinks, Video, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
gliadin antibody,43,43,1000,28,1.88,https://example.com/info/igg-gliadin-antibody-causes-symptoms-treatment.html,0,0.0,0.0,0.01,342000,"[76,76,76,67,55,76,76,100,76,100,76,76]",2023-09-07,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
how long does ketamine last,52,52,2400,11,2.61,https://example.com/info/how-long-does-ketamine-last.html,0,0.0,0.0,0.04,16500000,"[65,65,65,82,100,82,82,82,82,82,82,82]",2023-09-08,Indented,informational,Organic
can tmj cause dizziness,81,81,1000,19,1.15,https://example.com/blog/can-tmj-cause-stroke-like-symptoms/,0,0.0,0.0,0.02,475000,"[100,88,88,88,88,100,100,100,88,100,100,100]",2023-09-05,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
how much does it cost to fix a chipped tooth,29,29,1300,20,2.5,https://example.com/info/how-much-does-it-cost-to-repair-a-chipped-tooth.html,0,0.0,0.0,0.25,9410000,"[81,62,81,62,81,81,62,81,81,81,81,62]",2023-09-06,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
how much does it cost to fix a chipped tooth,30,30,1300,20,2.5,https://example.com/info/chipped-front-tooth-repair-cost.html,0,0.0,0.0,0.25,9410000,"[81,62,81,62,81,81,62,81,81,81,81,62]",2023-09-06,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
how to sleep with upper back pain,28,28,1000,28,1.14,https://example.com/info/best-sleeping-position-for-upper-back-pain.html,0,0.0,0.0,0.03,193000000,"[100,67,76,76,76,76,55,76,67,76,76,67]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
how to sleep with upper back pain,29,29,1000,28,1.14,https://example.com/info/sleeping-positions-upper-back-pain.html,0,0.0,0.0,0.03,193000000,"[100,67,76,76,76,76,55,76,67,76,76,67]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
jardiance para que sirve,27,27,1000,27,1.97,https://example.com/blog/jardiance-para-la-diabetes/,0,0.0,0.0,0.04,128000,"[55,67,100,55,76,67,67,100,100,76,76,100]",2023-09-04,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
bulk pre workout,41,41,1900,19,2.43,https://example.com/bulk-pre-workout-ingredients/,0,0.0,0.0,1.0,19800000,"[100,79,66,79,79,100,79,79,79,79,100,79]",2023-09-05,"Reviews, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
can dry eyes cause blurry vision,55,55,1900,23,1.62,https://example.com/blog/dry-eye-blurry-vision-causes-symptoms-treatment-nao-medical/,0,0.0,0.0,0.12,3990000,"[79,66,79,79,79,100,79,100,79,66,66,66]",2023-09-07,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
how long does mascara last,47,47,1600,17,3.71,https://example.com/info/mascara-expiration-guide.html,0,0.0,0.0,0.01,95000000,"[84,52,84,84,100,100,100,100,84,84,68,52]",2023-09-06,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
niacinamide vs hyaluronic acid,27,0,1300,25,1.06,https://example.com/info/hyaluronic-acid-niacinamide-first.html,0,0.0,0.0,0.01,23000000,"[55,55,55,62,62,81,81,100,62,81,100,100]",2023-09-09,"Sitelinks, Reviews, Featured snippet, Image, People also ask, FAQ, Related searches","commercial, informational",Organic
lean body protein shake,47,43,6600,29,1.04,https://example.com/where-to-buy-lean-body-protein-shakes/,0,0.0,0.0,1.0,12400000,"[81,81,81,54,54,100,81,100,100,100,100,100]",2023-09-10,"Sitelinks, Reviews, Image, Shopping ads, People also ask, Related searches","informational, transactional",Organic
seattle to boise,77,77,1900,27,1.04,https://example.com/info/driving-from-seattle-to-boise.html,0,0.0,0.0,0.12,53300000,"[100,79,66,79,79,66,66,79,66,79,79,79]",2023-09-05,"Instant answer, Image pack, Sitelinks, Reviews, Video, Image, People also ask, Flights, Indented, Related searches",informational,Organic
magtech magnesium,72,72,1000,12,4.73,https://example.com/info/magtech-magnesium-lemonade-benefits-recipes-faqs.html,0,0.0,0.0,1.0,98100,"[67,55,76,76,76,100,76,100,76,76,100,100]",2023-09-07,"Knowledge panel, Reviews, Video, Image, People also ask, Indented, Related products, Related searches","informational, transactional",Organic
femoral endarterectomy,41,41,1900,27,2.02,https://example.com/info/how-long-does-a-femoral-endarterectomy-procedure-take.html,0,0.0,0.0,0.01,561000,"[66,66,66,100,66,66,100,100,100,79,79,79]",2023-09-05,"Featured snippet, People also ask, Related searches","commercial, informational",Organic
suboxone half life,79,79,1000,27,4.63,https://example.com/info/how-long-is-suboxone-in-system.html,0,0.0,0.0,0.01,262000000,"[55,76,76,76,55,67,100,76,76,100,76,55]",2023-09-06,People also ask,informational,Organic
vitamin r,62,62,1000,27,1.11,https://example.com/info/benefits-of-malk-vitamin-r.html,0,0.0,0.0,0.02,1590000000,"[76,67,76,67,67,100,76,100,100,100,76,76]",2023-09-06,"Knowledge panel, Image pack, Reviews, People also ask, Related searches","informational, transactional",Organic
costco gluten free bread,52,52,1600,25,1.01,https://example.com/blog/are-costco-smoothies-gluten-free/,0,0.0,0.0,0.99,9800000,"[84,52,84,84,68,84,84,100,84,100,84,100]",2023-09-05,"Image pack, Reviews, Image, Video Carousel, People also ask, Recipes, Indented, Related searches",informational,Organic
durolane injection,49,0,4400,24,2.26,https://example.com/info/durolane-injection-side-effects.html,0,0.0,0.0,0.18,86500,"[81,66,81,81,66,81,81,100,81,81,81,81]",2023-09-09,"Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
16 panel drug test,50,50,1000,19,1.1,https://example.com/blog/16-panel-drug-test-nyc-nao-medical/,0,0.0,0.0,0.45,283000000,"[76,76,76,55,55,67,67,76,67,76,100,76]",2023-09-08,"Ads bottom, People also ask","commercial, informational",Organic
does astigmatism get worse,28,28,1000,23,1.26,https://example.com/blog/astigmatism-getting-worse-nao-medical/,0,0.0,0.0,0.01,1400000,"[67,67,76,76,76,100,76,100,76,76,76,76]",2023-09-03,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
turkey burger calories,67,0,2900,29,1.11,https://example.com/health/calories-in-half-pound-hamburger-guide/?amp=1,0,0.0,0.0,0.02,31100000,"[81,43,43,36,29,81,81,81,81,65,65,81]",2023-09-09,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Recipes, Related searches",informational,Organic
itchy teeth,38,38,1000,26,1.36,https://example.com/blog/itchy-teeth-covid-nao-medical/,0,0.0,0.0,0.01,16700000,"[67,67,100,100,76,45,76,45,100,76,67,67]",2023-09-03,"Sitelinks, Video, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
vaginal lightening,86,86,1600,19,1.11,https://example.com/info/how-to-lighten-your-vag-tips-and-tricks.html,0,0.0,0.0,1.0,2020000,"[20,54,54,54,79,79,79,100,79,66,79,79]",2023-09-04,"Sitelinks, Reviews, Ads bottom, People also ask, FAQ, Related searches","commercial, informational",Organic
ketamine withdrawal,42,41,1000,14,2.8,https://example.com/info/ketamine-withdrawal-symptoms-treatment-support.html,0,0.0,0.0,0.13,269000000,"[76,67,76,76,76,76,76,76,67,100,76,67]",2023-09-10,,informational,Organic
sermorelin benefits,31,0,1300,29,1.64,https://example.com/info/benefits-semaglutide-sermorelin-improved-health-wellness-3.html,0,0.0,0.0,0.01,242000,"[81,62,100,100,62,81,81,81,62,62,100,100]",2023-09-10,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
jevity 1.5 nutrition,47,47,1900,27,3.25,https://example.com/info/calories-in-jevity-1-5-guide.html,0,0.0,0.0,0.96,69700,"[79,79,100,100,79,100,100,100,79,79,79,79]",2023-09-06,"Knowledge panel, Reviews, Image, People also ask, Indented, Related searches",informational,Organic
bruised tooth,31,31,1300,27,2.36,https://example.com/info/bruised-gum-around-tooth-causes-symptoms-treatment.html,0,0.0,0.0,0.01,4480000,"[84,52,68,84,52,68,84,68,68,84,84,84]",2023-09-05,"Image, People also ask, Indented, Related searches",informational,Organic
